end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),mission_type,found_quantity,treatment,replicate
18.0,0.0002777777777777778,c,0.4,9000.0,0.5,70.71806008078977,63.12121124335805,,15.630000000000003,1.0,0,86.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,9000.0,0.5,26.38866709525134,57.69748953814479,,7.902222222222221,1.0,0,87.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,9000.0,0.5,92.67256842537279,65.0642176791703,2.275966817835487,8.85222222222222,1.0,1,88.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,9000.0,0.5,83.91930577999706,54.31794548143797,1.8470779289465307,17.85222222222222,1.0,1,89.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,9000.0,0.5,72.63194984280372,55.73673875302016,,12.902222222222228,1.0,0,90.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,9000.0,0.5,48.023995608541,86.85546336404886,2.776605672367963,13.852222222222228,1.0,1,91.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,9000.0,0.5,84.21031858766467,45.201161637157526,1.704939005701129,22.852222222222228,1.0,1,92.0,3.0
18.0,0.0002777777777777778,a,0.9,9000.0,0.5,74.47523234243593,53.497557863036135,,20.68,1.0,0,93.0,3.0
18.0,0.0002777777777777778,b,0.9,9000.0,0.5,66.03259063996126,69.09637037652651,0.871431782423044,21.63,1.0,1,94.0,3.0
18.0,0.0002777777777777778,c,0.9,9000.0,0.5,91.39752670059377,8.949499139510886,0.10393178242301639,30.63,1.0,1,95.0,3.0
18.0,0.0002777777777777778,a,0.4,13000.0,0.5,63.36655637875748,43.192531888730976,1.0666723705225125,7.5200000000000005,1.0,1,96.0,3.0
18.0,0.0002777777777777778,b,0.4,13000.0,0.5,36.59405848526094,10.21342207044883,,8.47,1.0,0,97.0,3.0
18.0,0.0002777777777777778,c,0.4,13000.0,0.5,55.284457315044556,13.78098929110333,,17.47,1.0,0,98.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,13000.0,0.5,19.638057670013687,0.21255584659090054,,9.742222222222221,1.0,0,99.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,13000.0,0.5,19.207229639360314,20.97064361616212,,10.69222222222222,1.0,0,100.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,13000.0,0.5,72.56696239328208,21.663726243823422,1.6320955295192687,19.69222222222222,1.0,1,101.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,13000.0,0.5,78.49367034311311,51.62444812344429,2.7669475556388408,14.742222222222228,1.0,1,102.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,13000.0,0.5,97.20983636837659,57.02082384902432,3.4622253334167272,15.692222222222227,1.0,1,103.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,13000.0,0.5,85.09714170415018,82.39611805032472,1.3502808889719526,24.692222222222227,1.0,1,104.0,3.0
18.0,0.0002777777777777778,a,0.9,13000.0,0.5,54.359432659582275,48.67111888231571,0.22506426344208713,22.52,1.0,1,105.0,3.0
